time	V(n001)
4.960788989958551e-01	2.232147e+01
4.960789070425645e-01	2.232147e+01
4.960789135681097e-01	2.232147e+01
4.960789271185232e-01	2.232147e+01
4.960789344537016e-01	2.232147e+01
4.960789421408085e-01	2.232147e+01
4.960789478500402e-01	2.232147e+01
4.960789560649726e-01	2.232147e+01
4.960789644505154e-01	2.232147e+01
4.960789719816223e-01	2.232147e+01
4.960789799713491e-01	2.232147e+01
4.960789856483122e-01	2.232147e+01
4.960789942241948e-01	2.232147e+01
4.960790021653566e-01	2.232147e+01
4.960790093354455e-01	2.232147e+01
4.960790230133775e-01	2.232147e+01
4.960790303865477e-01	2.232147e+01
4.960790379156061e-01	2.232147e+01
4.960790443939671e-01	2.232147e+01
4.960790594881034e-01	2.232147e+01
4.960790663393625e-01	2.232147e+01
4.960790796573968e-01	2.232147e+01
4.960790883715817e-01	2.232147e+01
4.960790966531251e-01	2.232147e+01
4.960791034036347e-01	2.232147e+01
4.960791171320801e-01	2.232147e+01
4.960791248762002e-01	2.232147e+01
4.960791328403157e-01	2.232147e+01
4.960791390296941e-01	2.232147e+01
4.960791544047182e-01	2.232147e+01
4.960791620232889e-01	2.232147e+01
4.960791699876850e-01	2.232147e+01
